OID_,WellName,Zm,Xm,Ym
364,15-12,880.452,327137.894,4406034.884
365,15-12,879.452,327137.893,4406034.89
366,15-12,878.452,327137.892,4406034.896
367,15-12,877.452,327137.891,4406034.903
368,15-12,876.452,327137.89,4406034.909
369,15-12,875.452,327137.888,4406034.916
370,15-12,874.452,327137.887,4406034.922
371,15-12,873.452,327137.886,4406034.928
372,15-12,872.452,327137.884,4406034.935
373,15-12,871.452,327137.882,4406034.941
374,15-12,870.452,327137.881,4406034.947
375,15-12,869.452,327137.879,4406034.954
376,15-12,868.452,327137.877,4406034.961
377,15-12,867.452,327137.875,4406034.967
378,15-12,866.452,327137.873,4406034.974
379,15-12,865.452,327137.87,4406034.981
380,15-12,864.452,327137.868,4406034.988
381,15-12,863.452,327137.866,4406034.995
382,15-12,862.452,327137.863,4406035.002
383,15-12,861.452,327137.861,4406035.009
384,15-12,860.452,327137.859,4406035.017
385,15-12,859.452,327137.856,4406035.024
386,15-12,858.452,327137.853,4406035.031
387,15-12,857.452,327137.851,4406035.038
388,15-12,856.452,327137.848,4406035.045
389,15-12,855.452,327137.845,4406035.053
390,15-12,854.452,327137.842,4406035.06
391,15-12,853.452,327137.839,4406035.067
392,15-12,852.452,327137.836,4406035.075
393,15-12,851.452,327137.833,4406035.083
394,15-12,850.452,327137.829,4406035.09
395,15-12,849.452,327137.826,4406035.098
396,15-12,848.452,327137.823,4406035.106
397,15-12,847.452,327137.819,4406035.114
398,15-12,846.453,327137.816,4406035.122
399,15-12,845.453,327137.812,4406035.13
400,15-12,844.453,327137.808,4406035.138
401,15-12,843.453,327137.804,4406035.146
402,15-12,842.453,327137.799,4406035.155
403,15-12,841.453,327137.794,4406035.163
404,15-12,840.453,327137.789,4406035.171
405,15-12,839.453,327137.784,4406035.18
406,15-12,838.453,327137.779,4406035.188
407,15-12,837.453,327137.773,4406035.197
408,15-12,836.453,327137.768,4406035.206
409,15-12,835.453,327137.762,4406035.214
410,15-12,834.453,327137.756,4406035.223
411,15-12,833.453,327137.75,4406035.232
412,15-12,832.453,327137.743,4406035.241
413,15-12,831.453,327137.737,4406035.25
414,15-12,830.453,327137.73,4406035.26
415,15-12,829.453,327137.723,4406035.269
416,15-12,828.453,327137.716,4406035.278
417,15-12,827.454,327137.708,4406035.288
418,15-12,826.454,327137.701,4406035.298
419,15-12,825.454,327137.693,4406035.307
420,15-12,824.454,327137.685,4406035.317
421,15-12,823.454,327137.677,4406035.327
422,15-12,822.454,327137.669,4406035.337
423,15-12,821.454,327137.66,4406035.347
424,15-12,820.454,327137.652,4406035.357
425,15-12,819.454,327137.643,4406035.367
426,15-12,818.454,327137.634,4406035.377
427,15-12,817.454,327137.625,4406035.388
428,15-12,816.455,327137.615,4406035.398
429,15-12,815.455,327137.606,4406035.408
430,15-12,814.455,327137.596,4406035.419
431,15-12,813.455,327137.586,4406035.43
432,15-12,812.455,327137.576,4406035.44
433,15-12,811.455,327137.565,4406035.451
434,15-12,810.455,327137.555,4406035.462
435,15-12,809.455,327137.544,4406035.473
436,15-12,808.455,327137.533,4406035.484
437,15-12,807.456,327137.522,4406035.494
438,15-12,806.456,327137.512,4406035.505
439,15-12,805.456,327137.5,4406035.516
440,15-12,804.456,327137.489,4406035.527
441,15-12,803.456,327137.477,4406035.538
442,15-12,802.456,327137.466,4406035.549
443,15-12,801.456,327137.453,4406035.56
444,15-12,800.456,327137.441,4406035.572
445,15-12,799.457,327137.429,4406035.583
446,15-12,798.457,327137.417,4406035.594
447,15-12,797.457,327137.404,4406035.605
448,15-12,796.457,327137.392,4406035.616
449,15-12,795.457,327137.379,4406035.628
450,15-12,794.457,327137.366,4406035.639
451,15-12,793.457,327137.353,4406035.65
452,15-12,792.458,327137.339,4406035.662
453,15-12,791.458,327137.326,4406035.674
454,15-12,790.458,327137.312,4406035.685
455,15-12,789.458,327137.298,4406035.697
456,15-12,788.458,327137.284,4406035.709
457,15-12,787.458,327137.27,4406035.721
458,15-12,786.459,327137.256,4406035.733
459,15-12,785.459,327137.241,4406035.744
460,15-12,784.459,327137.227,4406035.756
461,15-12,783.459,327137.212,4406035.767
462,15-12,782.459,327137.198,4406035.779
463,15-12,781.459,327137.183,4406035.79
464,15-12,780.46,327137.168,4406035.801
465,15-12,779.46,327137.153,4406035.812
466,15-12,778.46,327137.138,4406035.823
467,15-12,777.46,327137.123,4406035.834
468,15-12,776.46,327137.108,4406035.845
469,15-12,775.46,327137.093,4406035.856
470,15-12,774.461,327137.078,4406035.867
471,15-12,773.461,327137.063,4406035.878
472,15-12,772.461,327137.047,4406035.888
473,15-12,771.461,327137.031,4406035.898
474,15-12,770.461,327137.016,4406035.909
475,15-12,769.462,327137,4406035.919
476,15-12,768.462,327136.984,4406035.929
477,15-12,767.462,327136.968,4406035.939
478,15-12,766.462,327136.952,4406035.949
479,15-12,765.462,327136.936,4406035.959
480,15-12,764.462,327136.92,4406035.969
481,15-12,763.463,327136.904,4406035.979
482,15-12,762.463,327136.887,4406035.988
483,15-12,761.463,327136.871,4406035.998
484,15-12,760.463,327136.855,4406036.008
485,15-12,759.463,327136.838,4406036.017
486,15-12,758.463,327136.821,4406036.026
487,15-12,757.464,327136.804,4406036.036
488,15-12,756.464,327136.788,4406036.045
489,15-12,755.464,327136.771,4406036.054
490,15-12,754.464,327136.754,4406036.063
491,15-12,753.464,327136.737,4406036.072
492,15-12,752.465,327136.721,4406036.081
493,15-12,751.465,327136.705,4406036.091
494,15-12,750.465,327136.688,4406036.1
495,15-12,749.465,327136.672,4406036.109
496,15-12,748.465,327136.656,4406036.118
497,15-12,747.465,327136.64,4406036.127
498,15-12,746.466,327136.624,4406036.135
499,15-12,745.466,327136.608,4406036.144
500,15-12,744.466,327136.592,4406036.153
501,15-12,743.466,327136.576,4406036.162
502,15-12,742.466,327136.561,4406036.171
503,15-12,741.466,327136.545,4406036.18
504,15-12,740.467,327136.529,4406036.189
505,15-12,739.467,327136.514,4406036.198
506,15-12,738.467,327136.499,4406036.207
507,15-12,737.467,327136.483,4406036.216
508,15-12,736.467,327136.468,4406036.224
509,15-12,735.467,327136.453,4406036.233
510,15-12,734.468,327136.438,4406036.242
511,15-12,733.468,327136.423,4406036.251
512,15-12,732.468,327136.408,4406036.259
513,15-12,731.468,327136.393,4406036.268
514,15-12,730.468,327136.379,4406036.276
515,15-12,729.468,327136.364,4406036.285
516,15-12,728.468,327136.35,4406036.294
517,15-12,727.469,327136.335,4406036.302
518,15-12,726.469,327136.321,4406036.311
519,15-12,725.469,327136.307,4406036.319
520,15-12,724.469,327136.293,4406036.328
521,15-12,723.469,327136.279,4406036.337
522,15-12,722.469,327136.264,4406036.346
523,15-12,721.469,327136.25,4406036.356
524,15-12,720.47,327136.236,4406036.365
525,15-12,719.47,327136.221,4406036.375
526,15-12,718.47,327136.206,4406036.385
527,15-12,717.47,327136.192,4406036.396
528,15-12,716.47,327136.177,4406036.406
529,15-12,715.47,327136.162,4406036.417
530,15-12,714.471,327136.147,4406036.428
531,15-12,713.471,327136.132,4406036.439
532,15-12,712.471,327136.117,4406036.45
533,15-12,711.471,327136.102,4406036.462
534,15-12,710.471,327136.087,4406036.473
535,15-12,709.471,327136.072,4406036.485
536,15-12,708.472,327136.057,4406036.497
537,15-12,707.472,327136.042,4406036.509
538,15-12,706.472,327136.027,4406036.522
